iter	Passed	Remaining
0	2	275
1	5	286
2	8	276
3	10	244
4	13	251
5	15	241
6	17	233
7	19	227
8	21	217
9	23	210
10	25	202
11	27	198
12	28	191
13	30	187
14	32	186
15	34	182
16	36	175
17	37	172
18	40	171
19	41	167
20	43	164
21	45	160
22	48	161
23	49	157
24	51	153
25	52	150
26	54	148
27	56	145
28	57	141
29	59	138
30	61	137
31	63	134
32	64	131
33	66	128
34	67	125
35	68	122
36	69	119
37	71	116
38	72	114
39	76	114
40	77	111
41	78	108
42	79	105
43	81	103
44	82	101
45	84	99
46	86	97
47	88	95
48	90	94
49	92	92
50	93	89
51	94	87
52	96	85
53	98	83
54	99	81
55	101	79
56	103	77
57	104	75
58	106	74
59	108	72
60	110	70
61	112	68
62	113	66
63	115	64
64	117	63
65	119	61
66	123	61
67	125	58
68	126	56
69	128	54
70	129	52
71	130	50
72	133	49
73	134	47
74	136	45
75	138	43
76	140	41
77	142	40
78	143	38
79	145	36
80	146	34
81	148	32
82	158	32
83	161	30
84	162	28
85	164	26
86	165	24
87	168	22
88	169	20
89	171	19
90	173	17
91	175	15
92	176	13
93	178	11
94	181	9
95	183	7
96	184	5
97	186	3
98	188	1
99	189	0
